"CleverReach Connect","CleverReach Connect"
"CleverReach Settings","CleverReach Settings"
"The CleverReach plugin will synchronize all subscriptions and orders with your account.","<p>The CleverReach plugin will synchronize all subscriptions and orders with your account. Users can deactivate themselfs here and in CleverReach.<br/>To synchronize old orders and subscribers, go to 'Newsletter -&gt; Subscribers'.<br /><br /><i>Note: Manual un/subscribing in the the Magento administration backend wont be transmitted to CleverReach.</i><div style='text-align:right'>You dont have a CleverReach account yet? <a href='http://www.cleverreach.de' target='_blank'><b>Signup for CleverReach now!</b></a></div></p><hr />"
"API Key","API Key"
"This can be found on your Listsettings page in CleverReach.","This can be found on your Listsettings page in CleverReach."
"General List ID","General List ID"
"Magento users who subscribe/unsubscribe to the newsletter will be added/removed from this CleverReach receiver list.","Magento users who subscribe/unsubscribe to the newsletter will be added/removed from this CleverReach receiver list."
"Import Orders","Import Orders"
"Sync sales with CleverRech. Required for ordertracking. Note: this will currently NOT work with the Multishipping Checkout","Sync sales with CleverRech. Required for ordertracking. Note: this will currently NOT work with the Multishipping Checkout"
"Force registered and deactivated users to become activated aggain once they place an order. The flag 'Newsletter' will NOT be set for them.","Force registered and deactivated users to become activated aggain once they place an order. The flag 'Newsletter' will NOT be set for them."
"API keys for user groups","API keys for user groups"
"Hide 'General' subscription for groups","Hide 'General' subscription for groups"
"If 'No' - then users who belong not to 'General' group, will have possibility subscribe to both, 'General' and '% Group' newsletter. If 'Yes' - just to '% Groups' newsletter","If 'No' - then users who belong not to 'General' group, will have possibility subscribe to both, 'General' and '% Group' newsletter. If 'Yes' - just to '% Groups' newsletter"
"Magento user groups","Magento user groups"
"CrConnect List ID","CrConnect List ID"
"Add API keys for group","Add API keys for group"
"Wrong column name specified.","Wrong column name specified."
"You are currently subscribed to 'General Subscription'","You are currently subscribed to 'General Subscription'"
"You are currently subscribed to '%s Subscription'","You are currently subscribed to '%s Subscription'"
"%s Subscription","%s Subscription"
"Logged user need to confirm","Logged user need to confirm"
"Confirmation request has been sent.","Confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account."
"There was a problem with the subscription","There was a problem with the subscription"
"Subscription was invalid","Subscription was invalid"
"Invalid subscription confirmation code","Invalid subscription confirmation code"
"Invalid subscription ID","Invalid subscription ID"
"The subscription has been removed.","The subscription has been removed."
"The subscription has been saved.","The subscription has been saved."
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"There was a problem with the unsubscription","There was a problem with the unsubscription"
"You were successfully unsubscribed","You were successfully unsubscribed"
"There was an error while saving your subscription details","There was an error while saving your subscription details"
"Could not CrConnect to Cleverreach.","Could not CrConnect to Cleverreach."
"Add after","Add after"
"Synchronization successfull. %s users were transmitted.","Synchronization successfull. %s users were transmitted."
"Your API key seems to be invalid. Please check it!","Your API key seems to be invalid. Please check it!"
"Your list ID seem to be wrong. Please correct it!","Your list ID seem to be wrong. Please correct it!"
"Please configure your Cleverreach settings.","Please configure your Cleverreach settings."
"Newsletter Subscribers","Newsletter Subscribers"
"The Magento subscriberlist has been deactivated since deactivation will most likly happen in Cleverreach.","The Magento subscriberlist has been deactivated since deactivation will most likly happen in Cleverreach."
"Please use your Cleverreach account to activate/deactivate your subscribers.","Please use your Cleverreach account to activate/deactivate your subscribers."
"CleverReach Connect general information","CleverReach Connect general information"
"CleverReach client ID","CleverReach client ID"
"Cleaverreach login","Cleaverreach login"
"CleverReach Connect list information","CleverReach Connect list information"
"List name","List name"
"Last mailing","Last mailing"
"Active receivers","Active receivers"
"Inactive receivers","Inactive receivers"
"Total receivers","Total receivers"
"Synchnonize data with CleverReach now","Synchnonize data with CleverReach now"
"Warning: Please wait untill the synchronization is finished. Depending on the amount of data this might take a while.","Warning: Please wait untill the synchronization is finished. Depending on the amount of data this might take a while."
"Synchronizing data with Cleverreach","Synchronizing data with Cleverreach"
"Please wait! This may take a while.","Please wait! This may take a while."
